# @source="r&#233;seau Sentinelles, INSERM, Sorbonne Universit&#233;, https://www.sentiweb.fr", @meta={"period":[202012,202343],"geo":["PAY",1],"geo_ref":"insee","indicator":"25","type":"all","conf_int":true,"compact":false,"age_group":false}, @date=2023-11-02T19:56:14+01:00, bundle=1698951355
week,indicator,inc,inc_low,inc_up,inc100,inc100_low,inc100_up,geo_insee,geo_name
202343,25,126895,112433,141357,191,169,213,FR,France
202342,25,124123,112868,135378,187,170,204,FR,France
202341,25,126477,115697,137257,190,174,206,FR,France
202340,25,145262,132323,158201,219,200,238,FR,France
202339,25,156932,144286,169578,236,217,255,FR,France
202338,25,140770,128842,152698,212,194,230,FR,France
202337,25,109440,98918,119962,165,149,181,FR,France
202336,25,90802,81444,100160,137,123,151,FR,France
202335,25,75353,66521,84185,113,100,126,FR,France
202334,25,62298,53692,70904,94,81,107,FR,France
202333,25,51315,41862,60768,77,63,91,FR,France
202332,25,44411,36803,52019,67,56,78,FR,France
202331,25,45046,37089,53003,68,56,80,FR,France
202330,25,43645,35319,51971,66,53,79,FR,France
202329,25,36079,28820,43338,54,43,65,FR,France
202328,25,32466,25871,39061,49,39,59,FR,France
202327,25,32116,25876,38356,48,39,57,FR,France
202326,25,29974,24339,35609,45,37,53,FR,France
202325,25,33506,27383,39629,50,41,59,FR,France
202324,25,36369,29696,43042,55,45,65,FR,France
202323,25,42752,36381,49123,64,54,74,FR,France
202322,25,50539,43068,58010,76,65,87,FR,France
202321,25,48716,41316,56116,73,62,84,FR,France
202320,25,44849,37807,51891,67,56,78,FR,France
202319,25,48729,41382,56076,73,62,84,FR,France
202318,25,51222,43946,58498,77,66,88,FR,France
202317,25,65181,56998,73364,98,86,110,FR,France
202316,25,67943,59918,75968,102,90,114,FR,France
202315,25,82866,73291,92441,125,111,139,FR,France
202314,25,98529,87900,109158,148,132,164,FR,France
202313,25,119724,108822,130626,180,164,196,FR,France
202312,25,129757,118646,140868,195,178,212,FR,France
202311,25,129390,118530,140250,195,179,211,FR,France
202310,25,131370,120657,142083,198,182,214,FR,France
202309,25,107669,98011,117327,162,147,177,FR,France
202308,25,124258,113620,134896,187,171,203,FR,France
202307,25,142739,130843,154635,215,197,233,FR,France
202306,25,159334,147000,171668,240,221,259,FR,France
202305,25,152820,141240,164400,230,213,247,FR,France
202304,25,121411,111309,131513,183,168,198,FR,France
202303,25,114848,105018,124678,173,158,188,FR,France
202302,25,130074,119576,140572,196,180,212,FR,France
202301,25,193195,179660,206730,291,271,311,FR,France
202252,25,232035,215718,248352,350,325,375,FR,France
202251,25,372445,352616,392274,562,532,592,FR,France
202250,25,382405,363398,401412,577,548,606,FR,France
202249,25,296183,280349,312017,447,423,471,FR,France
202248,25,235044,221092,248996,354,333,375,FR,France
202247,25,199061,185808,212314,300,280,320,FR,France
202246,25,147262,135893,158631,222,205,239,FR,France
202245,25,103238,93558,112918,156,141,171,FR,France
202244,25,86318,77100,95536,130,116,144,FR,France
202243,25,116462,103782,129142,176,157,195,FR,France
202242,25,120953,110276,131630,182,166,198,FR,France
202241,25,123539,113639,133439,186,171,201,FR,France
202240,25,117976,108270,127682,178,163,193,FR,France
202239,25,115474,105715,125233,174,159,189,FR,France
202238,25,82053,73524,90582,124,111,137,FR,France
202237,25,62482,55099,69865,94,83,105,FR,France
202236,25,43450,37073,49827,66,56,76,FR,France
202235,25,33304,27967,38641,50,42,58,FR,France
202234,25,32173,26435,37911,49,40,58,FR,France
202233,25,29216,23034,35398,44,35,53,FR,France
202232,25,40805,32605,49005,62,50,74,FR,France
202231,25,42848,35020,50676,65,53,77,FR,France
202230,25,49485,41725,57245,75,63,87,FR,France
202229,25,61242,52724,69760,92,79,105,FR,France
202228,25,72660,63141,82179,110,96,124,FR,France
202227,25,105803,95020,116586,160,144,176,FR,France
202226,25,86210,77443,94977,130,117,143,FR,France
202225,25,66068,58718,73418,100,89,111,FR,France
202224,25,53312,46832,59792,80,70,90,FR,France
202223,25,48915,42661,55169,74,65,83,FR,France
202222,25,44745,38871,50619,67,58,76,FR,France
202221,25,35684,30219,41149,54,46,62,FR,France
202220,25,46874,40696,53052,71,62,80,FR,France
202219,25,42681,36818,48544,64,55,73,FR,France
202218,25,61938,54472,69404,93,82,104,FR,France
202217,25,75024,66766,83282,113,101,125,FR,France
202216,25,103633,93419,113847,156,141,171,FR,France
202215,25,178168,164846,191490,269,249,289,FR,France
202214,25,250778,236085,265471,378,356,400,FR,France
202213,25,288803,273650,303956,436,413,459,FR,France
202212,25,247537,233872,261202,373,352,394,FR,France
202211,25,183347,171632,195062,276,258,294,FR,France
202210,25,140366,129989,150743,212,196,228,FR,France
202209,25,82748,74732,90764,125,113,137,FR,France
202208,25,61352,54240,68464,93,82,104,FR,France
202207,25,70083,62324,77842,106,94,118,FR,France
202206,25,94774,85822,103726,143,130,156,FR,France
202205,25,135656,125440,145872,205,190,220,FR,France
202204,25,144768,134227,155309,218,202,234,FR,France
202203,25,152651,141883,163419,230,214,246,FR,France
202202,25,131009,121146,140872,198,183,213,FR,France
202201,25,140289,129234,151344,212,195,229,FR,France
202152,25,119284,108280,130288,181,164,198,FR,France
202151,25,95962,86205,105719,145,130,160,FR,France
202150,25,98252,89107,107397,149,135,163,FR,France
202149,25,97448,88847,106049,148,135,161,FR,France
202148,25,102691,94009,111373,155,142,168,FR,France
202147,25,95781,87247,104315,145,132,158,FR,France
202146,25,85173,77239,93107,129,117,141,FR,France
202145,25,60241,53646,66836,91,81,101,FR,France
202144,25,57800,50959,64641,87,77,97,FR,France
202143,25,66246,58313,74179,100,88,112,FR,France
202142,25,85033,76428,93638,129,116,142,FR,France
202141,25,75193,67494,82892,114,102,126,FR,France
202140,25,72779,65395,80163,110,99,121,FR,France
202139,25,64110,57120,71100,97,86,108,FR,France
202138,25,46691,40979,52403,71,62,80,FR,France
202137,25,38158,32682,43634,58,50,66,FR,France
202136,25,26963,22369,31557,41,34,48,FR,France
202135,25,24219,19591,28847,37,30,44,FR,France
202134,25,28967,23539,34395,44,36,52,FR,France
202133,25,25885,20391,31379,39,31,47,FR,France
202132,25,30016,23788,36244,45,36,54,FR,France
202131,25,39744,32220,47268,60,49,71,FR,France
202130,25,35434,28666,42202,54,44,64,FR,France
202129,25,33514,27312,39716,51,42,60,FR,France
202128,25,24111,18384,29838,36,27,45,FR,France
202127,25,25266,19878,30654,38,30,46,FR,France
202126,25,20220,15692,24748,31,24,38,FR,France
202125,25,16520,13155,19885,25,20,30,FR,France
202124,25,16195,12787,19603,25,20,30,FR,France
202123,25,17284,13767,20801,26,21,31,FR,France
202122,25,21595,17630,25560,33,27,39,FR,France
202121,25,25571,21204,29938,39,32,46,FR,France
202120,25,28635,24051,33219,43,36,50,FR,France
202119,25,22076,18039,26113,33,27,39,FR,France
202118,25,19490,15721,23259,30,24,36,FR,France
202117,25,24090,19722,28458,36,29,43,FR,France
202116,25,38224,32624,43824,58,50,66,FR,France
202115,25,46758,40754,52762,71,62,80,FR,France
202114,25,51604,45378,57830,78,69,87,FR,France
202113,25,65268,58302,72234,99,88,110,FR,France
202112,25,75578,68194,82962,114,103,125,FR,France
202111,25,57271,50883,63659,87,77,97,FR,France
202110,25,50943,45071,56815,77,68,86,FR,France
202109,25,41917,36224,47610,63,54,72,FR,France
202108,25,51836,45450,58222,78,68,88,FR,France
202107,25,57614,50967,64261,87,77,97,FR,France
202106,25,61368,54487,68249,93,83,103,FR,France
202105,25,62174,55528,68820,94,84,104,FR,France
202104,25,72814,65305,80323,110,99,121,FR,France
202103,25,61740,55001,68479,93,83,103,FR,France
202102,25,50443,44430,56456,76,67,85,FR,France
202101,25,56078,49481,62675,85,75,95,FR,France
202053,25,42094,35402,48786,64,54,74,FR,France
202052,25,35747,29356,42138,54,44,64,FR,France
202051,25,37600,32121,43079,57,49,65,FR,France
202050,25,43682,37897,49467,66,57,75,FR,France
202049,25,36337,31052,41622,55,47,63,FR,France
202048,25,44146,38122,50170,67,58,76,FR,France
202047,25,43834,37975,49693,67,58,76,FR,France
202046,25,58132,51454,64810,88,78,98,FR,France
202045,25,94838,86206,103470,144,131,157,FR,France
202044,25,106153,96692,115614,161,147,175,FR,France
202043,25,103830,94353,113307,158,144,172,FR,France
202042,25,96541,87664,105418,147,134,160,FR,France
202041,25,81954,73921,89987,124,112,136,FR,France
202040,25,67761,60310,75212,103,92,114,FR,France
202039,25,68999,61350,76648,105,93,117,FR,France
202038,25,88638,80122,97154,135,122,148,FR,France
202037,25,56454,49776,63132,86,76,96,FR,France
202036,25,24149,19991,28307,37,31,43,FR,France
202035,25,19831,15528,24134,30,23,37,FR,France
202034,25,11690,7876,15504,18,12,24,FR,France
202033,25,10848,7145,14551,16,10,22,FR,France
202032,25,11409,7422,15396,17,11,23,FR,France
202031,25,13366,9412,17320,20,14,26,FR,France
202030,25,21428,16609,26247,33,26,40,FR,France
202029,25,22240,17578,26902,34,27,41,FR,France
202028,25,17581,13715,21447,27,21,33,FR,France
202027,25,10817,7957,13677,16,12,20,FR,France
202026,25,7126,4846,9406,11,8,14,FR,France
202025,25,7053,4747,9359,11,7,15,FR,France
202024,25,5269,3493,7045,8,5,11,FR,France
202023,25,6768,4615,8921,10,7,13,FR,France
202022,25,8748,6192,11304,13,9,17,FR,France
202021,25,14651,11353,17949,22,17,27,FR,France
202020,25,28416,23875,32957,43,36,50,FR,France
202019,25,27347,22880,31814,42,35,49,FR,France
202018,25,34618,29499,39737,53,45,61,FR,France
202017,25,45903,40032,51774,70,61,79,FR,France
202016,25,60969,54118,67820,93,83,103,FR,France
202015,25,95364,86665,104063,145,132,158,FR,France
202014,25,213772,201334,226210,325,306,344,FR,France
202013,25,297819,283636,312002,452,430,474,FR,France
202012,25,273062,259400,286724,415,394,436,FR,France
